ID_Name, Filepath, Line_Number
about_app_name,app\src\main\res\layout\fragment_about.xml,31
about_app_version,app\src\main\res\layout\fragment_about.xml,44
about_description,app\src\main\res\layout\fragment_about.xml,58
about_link_isamm,app\src\main\res\layout\fragment_about.xml,73
about_logo,app\src\main\res\layout\fragment_about.xml,17
app_bar_layout,app\src\main\res\layout\activity_main.xml,14
app_bar_layout,app\src\main\res\layout\activity_main.xml,41
bottom_nav_view,app\src\main\res\layout\activity_main.xml,42
bottom_nav_view,app\src\main\res\layout\activity_main.xml,49
button_logout,app\src\main\res\layout\fragment_profile.xml,72
categories_recycler_view,app\src\main\res\layout\fragment_categories.xml,6
category_item_icon,app\src\main\res\layout\list_item_category.xml,37
category_item_icon_placeholder,app\src\main\res\layout\list_item_category.xml,27
category_item_name,app\src\main\res\layout\list_item_category.xml,40
category_item_subtitle,app\src\main\res\layout\list_item_category.xml,55
club_logo_image,app\src\main\res\layout\item_club_logo.xml,16
department_item_icon,app\src\main\res\layout\list_item_department.xml,26
department_item_name,app\src\main\res\layout\list_item_department.xml,39
department_recycler_view,app\src\main\res\layout\fragment_department_selection.xml,25
department_title,app\src\main\res\layout\fragment_department_selection.xml,12
divider,app\src\main\res\layout\fragment_profile.xml,60
divider,app\src\main\res\layout\fragment_profile.xml,83
forgot_password_link,app\src\main\res\layout\activity_login.xml,116
home_clubs_card,app\src\main\res\layout\fragment_home.xml,104
home_clubs_recycler_view,app\src\main\res\layout\fragment_home.xml,137
home_clubs_title,app\src\main\res\layout\fragment_home.xml,127
home_image_card,app\src\main\res\layout\fragment_home.xml,80
home_profile_icon,app\src\main\res\layout\fragment_home.xml,38
home_university_image,app\src\main\res\layout\fragment_home.xml,94
home_username_text,app\src\main\res\layout\fragment_home.xml,63
home_welcome_card,app\src\main\res\layout\fragment_home.xml,19
home_welcome_text,app\src\main\res\layout\fragment_home.xml,51
login_button,app\src\main\res\layout\activity_login.xml,130
login_email_input,app\src\main\res\layout\activity_login.xml,54
login_email_label,app\src\main\res\layout\activity_login.xml,41
login_password_input,app\src\main\res\layout\activity_login.xml,99
login_password_label,app\src\main\res\layout\activity_login.xml,71
login_password_layout,app\src\main\res\layout\activity_login.xml,84
login_subtitle_text,app\src\main\res\layout\activity_login.xml,29
login_title_text,app\src\main\res\layout\activity_login.xml,16
main,app\src\main\res\layout\activity_main.xml,6
mobile_navigation,app\src\main\res\navigation\mobile_navigation.xml,5
nav_host_fragment,app\src\main\res\layout\activity_main.xml,36
navigation_about,app\src\main\res\menu\bottom_nav_menu.xml,16
navigation_about,app\src\main\res\navigation\mobile_navigation.xml,29
navigation_courses,app\src\main\res\menu\bottom_nav_menu.xml,8
navigation_courses,app\src\main\res\navigation\mobile_navigation.xml,15
navigation_home,app\src\main\res\menu\bottom_nav_menu.xml,4
navigation_home,app\src\main\res\navigation\mobile_navigation.xml,6
navigation_home,app\src\main\res\navigation\mobile_navigation.xml,9
navigation_profile,app\src\main\res\menu\bottom_nav_menu.xml,12
navigation_profile,app\src\main\res\navigation\mobile_navigation.xml,22
no_account_text,app\src\main\res\layout\activity_login.xml,158
profile_email,app\src\main\res\layout\fragment_profile.xml,47
profile_image,app\src\main\res\layout\fragment_profile.xml,17
profile_username,app\src\main\res\layout\fragment_profile.xml,35
signup_button,app\src\main\res\layout\activity_signup.xml,147
signup_confirm_password_input,app\src\main\res\layout\activity_signup.xml,129
signup_confirm_password_label,app\src\main\res\layout\activity_signup.xml,101
signup_confirm_password_layout,app\src\main\res\layout\activity_signup.xml,114
signup_email_input,app\src\main\res\layout\activity_signup.xml,40
signup_email_label,app\src\main\res\layout\activity_signup.xml,27
signup_link_text,app\src\main\res\layout\activity_login.xml,168
signup_password_input,app\src\main\res\layout\activity_signup.xml,85
signup_password_label,app\src\main\res\layout\activity_signup.xml,57
signup_password_layout,app\src\main\res\layout\activity_signup.xml,70
signup_title_text,app\src\main\res\layout\activity_signup.xml,15
toolbar,app\src\main\res\layout\activity_main.xml,24
